B,0,0,1,0
CH,6,8,0,0
D,0,6,1,0
DH,3,4,1,0
DX,0,6,1,0
F,3,2,0,0
G,0,12,1,0
HH,3,14,0,0
JH,6,8,1,0
K,0,12,0,0
L,12,6,1,0
M,9,0,1,0
N,9,6,1,0
NG,9,12,1,0
P,0,0,0,0
Q,0,14,0,0
R,12,6,1,1
S,3,6,0,0
SH,3,8,0,0
T,0,6,0,0
TH,3,4,0,0
V,3,2,1,0
W,15,0,1,0
Y,15,10,1,0
Z,3,6,1,0
ZH,3,8,1,0
